Month,Total Energy Consumed 
01-01-1973,1957.641
01-02-1973,1712.143
01-03-1973,1510.079
01-04-1973,1183.421
01-05-1973,1006.326
01-06-1973,914.949
01-07-1973,961.872
01-08-1973,994.259
01-09-1973,937.083
01-10-1973,978.162
01-11-1973,1202.105
01-12-1973,1538.568
01-01-1974,1846.93
01-02-1974,1589.448
01-03-1974,1451.073
01-04-1974,1215.228
01-05-1974,1003.821
01-06-1974,916.835
01-07-1974,992.665
01-08-1974,966.36
01-09-1974,901.7
01-10-1974,992.604
01-11-1974,1148.216
01-12-1974,1629.89
01-01-1975,1778.493
01-02-1975,1639.284
01-03-1975,1559.255
01-04-1975,1376.209
01-05-1975,1026.718
01-06-1975,923.084
01-07-1975,980.968
01-08-1975,989.911
01-09-1975,910.485
01-10-1975,941.869
01-11-1975,1069.879
01-12-1975,1615.313
01-01-1976,2013.137
01-02-1976,1687.801
01-03-1976,1448.084
01-04-1976,1164.986
01-05-1976,1002.273
01-06-1976,947.705
01-07-1976,988.055
01-08-1976,981.429
01-09-1976,906.46
01-10-1976,1000.607
01-11-1976,1382.482
01-12-1976,1885.262
01-01-1977,2280.626
01-02-1977,1884.389
01-03-1977,1453.045
01-04-1977,1130.683
01-05-1977,967.509
01-06-1977,952.115
01-07-1977,1065.61
01-08-1977,1045.62
01-09-1977,957.999
01-10-1977,1012.345
01-11-1977,1177.765
01-12-1977,1730.504
01-01-1978,2027.305
01-02-1978,1951.199
01-03-1978,1712.875
01-04-1978,1210.914
01-05-1978,1071.934
01-06-1978,990.484
01-07-1978,1072.906
01-08-1978,1101.275
01-09-1978,1016.781
01-10-1978,1039.957
01-11-1978,1225.672
01-12-1978,1707.223
01-01-1979,2108.841
01-02-1979,2007.392
01-03-1979,1615.631
01-04-1979,1242.639
01-05-1979,1023.883
01-06-1979,946.094
01-07-1979,1024.767
01-08-1979,1072.946
01-09-1979,961.867
01-10-1979,1009.412
01-11-1979,1209.48
01-12-1979,1588.171
01-01-1980,1838.468
01-02-1980,1793.352
01-03-1980,1615.14
01-04-1980,1212.227
01-05-1980,1008.788
01-06-1980,993.775
01-07-1980,1152.33
01-08-1980,1157.857
01-09-1980,1029.125
01-10-1980,1038.329
01-11-1980,1232.913
01-12-1980,1680.995
01-01-1981,2032.325
01-02-1981,1693.078
01-03-1981,1449.833
01-04-1981,1107.16
01-05-1981,990.873
01-06-1981,999.215
01-07-1981,1113.688
01-08-1981,1075.509
01-09-1981,939.617
01-10-1981,1046.335
01-11-1981,1186.174
01-12-1981,1622.184
01-01-1982,2058.643
01-02-1982,1757.891
01-03-1982,1541.14
01-04-1982,1296.61
01-05-1982,999.916
01-06-1982,960.126
01-07-1982,1090.934
01-08-1982,1087.973
01-09-1982,1010.53
01-10-1982,1002.061
01-11-1982,1172.649
01-12-1982,1549.38
01-01-1983,1936.537
01-02-1983,1593.065
01-03-1983,1502.133
01-04-1983,1280.932
01-05-1983,1029.688
01-06-1983,967.119
01-07-1983,1125.715
01-08-1983,1199.584
01-09-1983,1040.331
01-10-1983,970.636
01-11-1983,1134.923
01-12-1983,1642.798
01-01-1984,2147.184
01-02-1984,1685.511
01-03-1984,1602.321
01-04-1984,1294.122
01-05-1984,1102.688
01-06-1984,1041.502
01-07-1984,1119.507
01-08-1984,1154.869
01-09-1984,1018.654
01-10-1984,1000.712
01-11-1984,1195.634
01-12-1984,1592.544
01-01-1985,1976.204
01-02-1985,1928.938
01-03-1985,1523.566
01-04-1985,1205.273
01-05-1985,1007.27
01-06-1985,1023.661
01-07-1985,1135.445
01-08-1985,1143.572
01-09-1985,1052.439
01-10-1985,1045.758
01-11-1985,1186.129
01-12-1985,1813.897
01-01-1986,1999.223
01-02-1986,1699.162
01-03-1986,1548.351
01-04-1986,1182.404
01-05-1986,1051.076
01-06-1986,1048.386
01-07-1986,1237.247
01-08-1986,1175.908
01-09-1986,1037.421
01-10-1986,1069.8
01-11-1986,1234.082
01-12-1986,1688.232
01-01-1987,1952.635
01-02-1987,1697.446
01-03-1987,1566.591
01-04-1987,1250.063
01-05-1987,1072.57
01-06-1987,1098.797
01-07-1987,1251.754
01-08-1987,1257.667
01-09-1987,1064.832
01-10-1987,1102.272
01-11-1987,1248.118
01-12-1987,1702.152
01-01-1988,2154.647
01-02-1988,1874.437
01-03-1988,1638.77
01-04-1988,1264.537
01-05-1988,1102.731
01-06-1988,1110.167
01-07-1988,1298.35
01-08-1988,1357.804
01-09-1988,1101.053
01-10-1988,1130.472
01-11-1988,1321.197
01-12-1988,1780.013
01-01-1989,1986.843
01-02-1989,1866.239
01-03-1989,1779.409
01-04-1989,1341.178
01-05-1989,1169.016
01-06-1989,1161.353
01-07-1989,1306.469
01-08-1989,1304.54
01-09-1989,1165.577
01-10-1989,1174.531
01-11-1989,1389.096
01-12-1989,2146.607
01-01-1990,2039.103
01-02-1990,1658.451
01-03-1990,1568.834
01-04-1990,1298.758
01-05-1990,1137.206
01-06-1990,1184.973
01-07-1990,1319.241
01-08-1990,1306.535
01-09-1990,1199.3
01-10-1990,1151.258
01-11-1990,1296.228
01-12-1990,1772.441
01-01-1991,2161.278
01-02-1991,1701.03
01-03-1991,1613.391
01-04-1991,1271.046
01-05-1991,1174.049
01-06-1991,1214.612
01-07-1991,1370.797
01-08-1991,1322.906
01-09-1991,1167.891
01-10-1991,1158.509
01-11-1991,1448.293
01-12-1991,1815.765
01-01-1992,2065.181
01-02-1992,1779.268
01-03-1992,1612.03
01-04-1992,1359.59
01-05-1992,1138.553
01-06-1992,1122.959
01-07-1992,1310.574
01-08-1992,1256.084
01-09-1992,1162.736
01-10-1992,1171.129
01-11-1992,1416.97
01-12-1992,1961.895
01-01-1993,2117.041
01-02-1993,1890.586
01-03-1993,1851.594
01-04-1993,1384.536
01-05-1993,1114.268
01-06-1993,1196.755
01-07-1993,1449.525
01-08-1993,1438.986
01-09-1993,1216.28
01-10-1993,1181.48
01-11-1993,1453.616
01-12-1993,1919.447
01-01-1994,2367.769
01-02-1994,2005.119
01-03-1994,1721.821
01-04-1994,1308.979
01-05-1994,1164.055
01-06-1994,1266.84
01-07-1994,1422.355
01-08-1994,1352.653
01-09-1994,1162.406
01-10-1994,1160.627
01-11-1994,1359.334
01-12-1994,1816.508
01-01-1995,2107.667
01-02-1995,1885.385
01-03-1995,1671.724
01-04-1995,1339.436
01-05-1995,1208.962
01-06-1995,1240.833
01-07-1995,1478.715
01-08-1995,1575.547
01-09-1995,1248.099
01-10-1995,1185.374
01-11-1995,1534.78
01-12-1995,2046.469
01-01-1996,2391.893
01-02-1996,2094.974
01-03-1996,1888.223
01-04-1996,1458.599
01-05-1996,1295.287
01-06-1996,1331.957
01-07-1996,1475.941
01-08-1996,1448.203
01-09-1996,1247.125
01-10-1996,1242.048
01-11-1996,1597.996
01-12-1996,2024.858
